Date,User,Tweet,text,tokenize_text,label
2014-01-25 15:04:25+00:00,sambitswaraj,Friends today(25/1/14) I would also be on @saharasamay at 9pm..pls watch...thx,friends today25114 i would also be on  at 9pmpls watchthx,friend today25114 would also 9pmpls watchthx,"Political Announcement,Engagement"
2014-01-18 16:50:08+00:00,SushmaSwaraj,@Venky1971 I addressed 50 public meetings in Delhi saying just this.,i addressed 50 public meetings in delhi saying just this,addressed 50 public meeting delhi saying,responses to opposition/people
2014-03-09 04:30:58+00:00,thekiranbedi,"Do read @chetan_bhagat in @timesofindia , piece,'Politics and its many shades of grey'! Makes very reasoned sense!",do read  in   piecepolitics and its many shades of grey makes very reasoned sense,read piecepolitics many shade grey make reasoned sense,"Political Announcement,Engagement"
2014-02-02 09:10:24+00:00,ChouhanShivraj,The case for making agriculture a profitable business. My views: http://t.co/fXqSXW0USJ,the case for making agriculture a profitable business my views,case making agriculture profitable business view,stance on national issues
2014-01-04 14:50:55+00:00,narendramodi,Will flag off Sabarmati Marathon in Ahmedabad tomorrow morning. My best wishes to all those running tomorrow http://t.co/hBbgKMTO6t,will flag off sabarmati marathon in ahmedabad tomorrow morning my best wishes to all those running tomorrow,flag sabarmati marathon ahmedabad tomorrow morning best wish running tomorrow,"Political Announcement,Engagement"
2014-03-29 14:53:25+00:00,narendramodi,"Addressing NRIs in Jan, PM had said bad days are over, good days are coming. He is right- UPA is a burden for India &amp; people will reject UPA",addressing nris in jan pm had said bad days are over good days are coming he is right upa is a burden for india amp people will reject upa,addressing nris jan pm said bad day good day coming right upa burden india amp people reject upa,responses to opposition/people
2014-03-24 17:54:26+00:00,AmitShah,"Watch my complete discussion in ABP Ghoshnapatra here : 
http://t.co/udMxFRQugc",watch my complete discussion in abp ghoshnapatra here,watch complete discussion abp ghoshnapatra,"Political Announcement,Engagement"
2014-03-09 08:30:11+00:00,thekiranbedi,"Strong &amp; Reforms Oriented,Political leadership can bring in police reforms. Home Secretary(IAS)is the prime hurdle!Implementation will flow!",strong amp reform oriented political leadership can bring in police reforms home secretaryiasis the prime hurdle implementation will flow,strong amp reform oriented political leadership bring police reform home secretaryiasis prime hurdle implementation flow,stance on national issues
2014-03-24 09:34:14+00:00,thekiranbedi,India's democracy will be truly global only when we include overseas Indians in voting rights.They then can be made equal partners in growth,india's democracy will be truly global only when we include overseas indians in voting rights they then can be made equal partners in growth,india democracy truly global include overseas indian voting right made equal partner growth,stance on national issues
2013-11-18 11:42:45+00:00,narendramodi,Now heading to Bhopal where I will join a public meeting http://t.co/hnqiK7Onqp @ChouhanShivraj,now heading to bhopal where i will join a public meeting,heading bhopal join public meeting,"Political Announcement,Engagement"
2014-03-05 14:16:11+00:00,thekiranbedi,What an important news+work of election commission has been lost for people at large today! Displaced by projection of lawlessness and chaos,what an important newswork of election commission has been lost for people at large today displaced by projection of lawlessness and chaos,important newswork election commission lost people large today displaced projection lawlessness chaos,responses to opposition/people
2013-12-12 18:07:39+00:00,thekiranbedi,@NatthaLive indeed. There are a few amendments which can be brought about still. Which I meant and said.,indeed there are a few amendments which can be brought about still which i meant and said,indeed amendment brought still meant said,stance on national issues
2013-11-30 10:17:16+00:00,SushmaSwaraj,@nanditathhakur Very good for BJP.,very good for bjp,good bjp,"Political Announcement,Engagement"
2014-01-19 07:21:19+00:00,sambitswaraj,Modi takes on the Stage for addressing #Bjpncmeet,modi takes on the stage for addressing,modi take stage addressing,"Political Announcement,Engagement"
2013-11-18 07:25:51+00:00,sambitswaraj,Vajpayee led the First Full term 'Non-Congress' Govt of India..thereby redefining the Democratic History of the Nation #BharatRatna for Atal,vajpayee led the first full term noncongress govt of indiathereby redefining the democratic history of the nation  for atal,vajpayee led first full term noncongress govt indiathereby redefining democratic history nation atal,achievements and accomplishments
2014-04-21 06:18:40+00:00,thekiranbedi,"(India First!Its 2014 or late)@EconomicTimes: #NarendraModi in UP: Be it BJP,NDA or any other, no one will be spared....must be punished...""",india firstits 2014 or late in up be it bjp nda or any other no one will be spared must be punished,india firstits 2014 late bjp nda one spared must punished,stance on national issues
2014-01-30 16:43:01+00:00,sambitswaraj,"Thanks sir :-)""@shiv100285: @sambitswaraj Sambitji, always hitting bulls eye with a humour :))""",thanks sir   sambitji always hitting bulls eye with a humour,thanks sir sambitji always hitting bull eye humour,"Political Announcement,Engagement"
2013-11-12 13:22:07+00:00,sambitswaraj,Today (12Nov) I would also be on @rajyasabhatv (Rajya Sabha TV) at 8pm # Is CBI a caged Parrot?,today 12nov i would also be on  rajya sabha tv at 8pm  is cbi a caged parrot,today 12nov would also rajya sabha tv 8pm cbi caged parrot,"Political Announcement,Engagement"
2014-04-06 12:34:47+00:00,sambitswaraj,Congress makes a Straw out of BJP's Manifesto..holding tight to it...but tomorrow the Straw would be gone &amp; Congress Drown..Down &amp; Down!!,congress makes a straw out of bjp's manifesto holding tight to itbut tomorrow the straw would be gone amp congress dropdown amp down,congress make straw bjp manifesto holding tight itbut tomorrow straw would gone amp congress dropdown amp,responses to opposition/people
2013-12-26 02:53:48+00:00,sambitswaraj,In Politics Tokenism should always occupy the Peripheral &amp; Governance the Central part of discussion-Dr Patra to NDTV http://t.co/cFUQXzzQPu,in politics tokenism should always occupy the peripheral amp governance the central part of discussiondr patra to ndtv,politics tokenism always occupy peripheral amp governance central part discussiondr patra ndtv,stance on national issues
2013-12-26 09:46:39+00:00,arunjaitley,Please read my take on the Commission of Inquiry set up by the Central Government :Here is the link: http://t.co/sfNG2yHRTC,please read my take on the commission of inquiry set up by the central government here is the link,please read take commission inquiry set central government link,"Political Announcement,Engagement"
2014-01-01 02:35:53+00:00,narendramodi,"Wishing everyone a happy 2014! May the year be filled with peace, prosperity &amp; happiness.",wishing everyone a happy 2014 may the year be filled with peace prosperity amp happiness,wishing everyone happy 2014 may year filled peace prosperity amp happiness,"Political Announcement,Engagement"
2014-05-09 10:52:31+00:00,sambitswaraj,Isn't this Raghu Ram the One Who along with Sazia Ilmi was Hurling the Choicest Abuses to Indian Ministers?? Is He a Hero gor AAP Youths??,isn't this raghu ram the one who along with shazia ilmi was hurling the choicest abuses to indian ministers is he a hero gor aap youths,raghu ram one along shazia ilmi hurling choicest abuse indian minister hero gor aap youth,responses to opposition/people
2013-12-29 09:42:45+00:00,arunjaitley,@panda_bibek Thank you,thank you,thank,"Political Announcement,Engagement"
2014-04-11 06:00:57+00:00,thekiranbedi,Nomura believes @narendramodi led NDA government is positive for d economy.It foresees accelerated execution of reforms in several areas..,nomura believes  led nda government is positive for d economyit foresees accelerated execution of reforms in several areas,nomura belief led nda government positive economyit foresees accelerated execution reform several area,"Political Announcement,Engagement"
2014-03-28 09:59:44+00:00,sambitswaraj,"http://t.co/2OyYXdqoMI Old Habits Die Hard..Shakeel Ahmed had said IM was formed because of 2002Riots, Remember..Saharanpur is just a Sequel",old habits die hardshakeel ahmed had said im was formed because of 2002riots remembersaharanpur is just a sequel,old habit die hardshakeel ahmed said im formed 2002riots remembersaharanpur sequel,responses to opposition/people
2014-03-31 09:45:54+00:00,nitin_gadkari,"मध्य नागपुर में भव्य रेल्ली 
मुस्लिम बंधुओ ने कि आतिशबाजी 
गडकरी का भव्य स्वागत 

भाजपा शिवसेना आर पी आई (आठवले... http://t.co/THG6HtjPR2","There was a future in the middle of the city
Fireworks of Muslim killings
Gadkar's future welcome

BJP Shavsan R.P.I.Athwal",There future middle city Fireworks Muslim killing Gadkar future welcome BJP Shavsan R P I Athwal,achievements and accomplishments
2014-03-04 10:02:21+00:00,arunjaitley,"""The President as a Constitutional and a Moral authority""""My Take ""  http://t.co/TpSFgMqGLb",the president as a constitutional and a moral authoritymy take,president constitutional moral authoritymy take,"Political Announcement,Engagement"
2014-03-09 13:27:23+00:00,sambitswaraj,"Lol..Why So? ""@KuldeepYagik: @sambitswaraj He his second aamir khan of Gajini.""",lol why so he his second aamir khan on ghajini,lol second aamir khan ghajini, responses to opposition/people
2014-03-28 15:37:00+00:00,thekiranbedi,(Very useful read for creative application) Time Management Skills Are Stupid. Here’s What Works. http://t.co/aPjo74Q70i via @TIMEIdeas,very useful read for creative application time management skills are stupid heres what works  via,useful read creative application time management skill stupid here work via,"Political Announcement,Engagement"
2014-03-03 18:21:17+00:00,sambitswaraj,"""Pyar Ki Andhi rook na sakegi..nafratoo ke kanjjar se..Jindabad Jindabad ayee Mohabaat Jindabad.."".tell me can anyone stop the NaMo Tsunsmi?",Pyaar ki aandhi na ruk sakeginafratoo ke kanjar sezindabad zindabad ai mohabbat zindabadtal mein can anyone stop the namo tasunsmi,Pyaar ki aandhi na ruk sakeginafratoo ke kanjar sezindabad zindabad ai mohabbat zindabadtal mein anyone stop namo tasunsmi,"Political Announcement,Engagement"
2014-01-13 16:23:55+00:00,sambitswaraj,On @timesnow at 10pm today (13/1/14)..pls watch,on  at 10pm today 13114pls watch,10pm today 13114pls watch,"Political Announcement,Engagement"
2014-03-31 04:03:03+00:00,sambitswaraj,"Youth Congress Worker Kalpana Giri, Found Dead..had gone for a Party to Congi MLA Amit Deshmukh's House..Mysterious!! http://t.co/2ShGv6PDS5",youth congress worker kalpana giri found dead had gone for a party to congi mla amit deshmukh house mysterious,youth congress worker kalpana giri found dead gone party congi mla amit deshmukh house mysterious,responses to opposition/people
2014-02-05 14:35:28+00:00,narendramodi,"Third Front will make India Third Rate! For India's progress, we need to reject them from every part of our nation http://t.co/L8d5DU0R2N",third front will make india third rate for india's progress we need to reject them from every part of our nation,third front make india third rate india progress need reject every part nation,stance on national issues
2014-02-13 11:57:46+00:00,narendramodi,I invite you all to come to Ambaji for this wonderful spiritual experience of worshipping at the 51 Shaktipeeths! http://t.co/Vb7dkjORMV,i invite you all to come to ambaji for this wonderful spiritual experience of worshipping at the 51 shaktipeeths,invite come ambaji wonderful spiritual experience worshipping 51 shaktipeeths,"Political Announcement,Engagement"
2014-04-02 05:09:03+00:00,sambitswaraj,"""Mirchi Laga"" Debate with Mim Afzal of Congress &amp; Rahi Sawant on News Nation http://t.co/e4qGaSNiMk via @YouTube",mirchi laga debate with mim afzal of congress amp rahi sawant on news nation  via,mirchi laga debate mim afzal congress amp rahi sawant news nation via,"Political Announcement,Engagement"
2013-12-13 15:27:39+00:00,thekiranbedi,See another. No previous sanction needed  for Lokpal for the Govt. May read the page. This is breakthrough. http://t.co/A5PXR7liU2,see another no previous sanction needed  for lokpal for the govt may read the page this is breakthrough,see another previous sanction needed lokpal govt may read page breakthrough,"Political Announcement,Engagement"
2014-05-12 12:54:39+00:00,narendramodi,"Due to social media, lies &amp; false promises of several leaders could not go beyond the podiums of their rallies! More power to social media.",due to social media lies amp false promises of several leaders could not go beyond the podiums of their rallies more power to social media,due social medium lie amp false promise several leader could go beyond podium rally power social medium,stance on national issues
2014-04-29 08:34:14+00:00,sambitswaraj,"BTW..Did Rahul Ever Posses a Thunder..never Saw it Lightening &amp;Roaring:@IndianExpress: Has Priyanka stolen the thunder from Rahul?""",btwdid rahul ever posses a thundernever saw it lightening amproaring has priyanka stolen the thunder from rahul,btwdid rahul ever posse thundernever saw lightening amproaring priyanka stolen thunder rahul,responses to opposition/people
2014-03-14 02:13:04+00:00,sambitswaraj,"I enjoyed Vinod Dua's intelligence! ""@captmohapatra: @sambitswaraj very good show at prashan kal. I like the way u answered tough questions""",i enjoyed vinod duas intelligence   very good show at prashan kal i like the way u answered tough questions,enjoyed vinod duas intelligence good show prashan kal like way u answered tough question,"Political Announcement,Engagement"
2013-12-08 13:28:52+00:00,SushmaSwaraj,My heartiest congratulations to Dr.Raman Singh and party colleagues for a hat trick in Chhattisgarh.,my heartiest congratulations to drraman singh and party colleagues for a hat trick in chhattisgarh,heartiest congratulation drraman singh party colleague hat trick chhattisgarh,achievements and accomplishments
2014-01-19 08:23:01+00:00,thekiranbedi,"""We make women home makers to nation builders""@narendramodi (this is what my parents told us to be when we four sisters were growing up!)",we make women home makers to nation builders this is what my parents told us to be when we four sisters were growing up,make woman home maker nation builder parent told u four sister growing,stance on national issues
2014-03-01 16:03:10+00:00,AmitShah,Will be on Aap ki Adalat (India TV ) in 30 minutes(10pm). Uttar Pradesh aur BJP ki bhi baat rakhunga. http://t.co/g88wGLjox0,Will be in Aap Ki Adalat India TV in 30 mins 10pm Uttar Pradesh and BJP's talk too,Will Aap Ki Adalat India TV 30 min 10pm Uttar Pradesh BJP talk,"Political Announcement,Engagement"
2013-11-12 08:31:50+00:00,thekiranbedi,Open recording of crime will place onus of reporting on people.It shall expose d disease of crime!Its understanding will be d needs analysis,open recording of crime will place onus of reporting on people will expose a disease of crime its understanding will be d needs analysis,open recording crime place onus reporting people expose disease crime understanding need analysis,responses to opposition/people
2014-03-27 09:46:50+00:00,nitin_gadkari,"मुस्लिम समाज
के
सदेव हितेषी :- नितिन गडकरी
नागपुर लोकसभा चुनाव में शिवसेना आर पी आई (आठवले गट )व् भाजपा के... http://t.co/sIqbcCc7QW","muslim understanding
K
Sadhav Hatsh Natan Gadkar
Nagpar Laksabh Chanav in Shivsan RPi Athwal group and BJP",muslim understanding K Sadhav Hatsh Natan Gadkar Nagpar Laksabh Chanav Shivsan RPi Athwal group BJP,"Political Announcement,Engagement"
2014-03-14 05:11:23+00:00,thekiranbedi,"(I wish him some peace and rest) @mmdvv: @thekiranbedi what's your take on kejriwal's statement,"" Media is sold out on NaMo,will jail them""!",i wish him some peace and rest whats your take on kejriwal's statement media is sold out on no will fail them,wish peace rest whats take kejriwal statement medium sold fail,responses to opposition/people
2014-03-30 10:53:37+00:00,sambitswaraj,@ngsajid ;))..at least once I can smile back..that too with a Winch...,at least once i can smile backthat too with a winch,least smile backthat winch,responses to opposition/people
2013-11-13 12:51:17+00:00,thekiranbedi,(Can Sprint) Supreme Court says to CBI 'STAND UP'&amp; at t same time Govt./Congress says 'SIT DOWN' Tell me what shld CBI do?@Score_Education,can sprint supreme court says to cbi stand up camp at same time govt congress says sit down tell me what shld cbi do,sprint supreme court say cbi stand camp time govt congress say sit tell shld cbi,"Political Announcement,Engagement"
