Date,User,Tweet,text,tokenize_text,label
2014-01-26 06:55:34+00:00,narendramodi,"Let us pledge to harness dreams, not dependency. Let us empower every Indian to break free from the chains of poverty.",let us pledge to harness dreams not dependency let us empower every indian to break free from the chains of poverty,let u pledge harness dream dependency let u empower every indian break free chain poverty,stance on national issues
2014-02-27 12:54:31+00:00,sambitswaraj,"Thsnks Sir ""@MahobatsinhD: @sambitswaraj @CNBC sir I have seen it which is best debate as spokesman of our party""",thsnks sir    sir i have seen it which is best debate as spokesman of our party,thsnks sir sir seen best debate spokesman party,achievements and accomplishments
2014-05-11 14:23:34+00:00,narendramodi,In Shri Tarakant Jha we lost a dedicated leader who played an instrumental role in building the BJP. May his soul rest in peace.,in shri tarakant jha we lost a dedicated leader who played an instrumental role in building the bjp may his soul rest in peace,shri tarakant jha lost dedicated leader played instrumental role building bjp may soul rest peace,"Political Announcement,Engagement"
2014-03-20 12:43:19+00:00,narendramodi,Assured that NDA Govt. will not allow farmers to die &amp; will ensure they are not dependent on Sahukars for loans at high interest rates.,assured that nda govt will not allow farmers to die amp will ensure they are not dependent on sahukars for loans at high interest rates,assured nda govt allow farmer die amp ensure dependent sahukars loan high interest rate,stance on national issues
2014-04-02 08:46:08+00:00,thekiranbedi,(don't they deserve change? Is this not abt their future?) @SachiRathi: No media outrage wen Sonia calls for electoral unity among muslims,dont they deserve change is this not abt their future  no media outrage wen sonia calls for electoral unity among muslims,dont deserve change abt future medium outrage wen sonia call electoral unity among muslim,"Political Announcement,Engagement"
2013-11-12 07:42:11+00:00,sambitswaraj,@adityaballiatic thank u sir,thank u sir,thank u sir,"Political Announcement,Engagement"
2014-01-12 17:19:13+00:00,nitin_gadkari,"The Great ""Swami Vivekananda"" http://t.co/D5WVkhxD5A",the great swami vivekananda,great swami vivekananda,"Political Announcement,Engagement"
2014-05-05 03:21:09+00:00,sambitswaraj,"Is ""Bengali Speaking Muslims"" the New Nomenclature for the ""Legalized Immigrants"" ????",is bengali speaking muslims the new nomenclature for the legalized immigrants,bengali speaking muslim new nomenclature legalized immigrant,"Political Announcement,Engagement"
2014-04-03 14:06:09+00:00,narendramodi,Saluting Field Marshal Sam Manekshaw on his birth anniversary. His distinguished service &amp; outstanding leadership will always be remembered.,saluting field marshal sam manekshaw on his birth anniversary his distinguished service amp outstanding leadership will always be remembered,saluting field marshal sam manekshaw birth anniversary distinguished service amp outstanding leadership always remembered,achievements and accomplishments
2014-04-12 04:58:25+00:00,arunjaitley,"The Campaign Diary – 12th April, 2014: http://t.co/1k5vGoXxAk",the campaign diary  12th april 2014,campaign diary 12th april 2014,"Political Announcement,Engagement"
2014-02-05 10:10:53+00:00,ChouhanShivraj,Bharat Ratna for Sachin is appropriate but I strongly feel hockey legend Major Dhyan Chand also deserves similar recognition.,bharat ratna for sachin is appropriate but i strongly feel hockey legend major dhyan chand also deserves similar recognition,bharat ratna sachin appropriate strongly feel hockey legend major dhyan chand also deserves similar recognition,stance on national issues
2014-01-08 15:29:52+00:00,thekiranbedi,(Let people know if comes to power he will make this national) @iamsitaram:@narendramodi Gujarat ..has a toll free..b replicated in nation..,let people know if comes to power he will make this national  gujarat has a toll freeb replicated in nation,let people know come power make national gujarat toll freeb replicated nation,"Political Announcement,Engagement"
2013-12-18 08:40:32+00:00,ChouhanShivraj,"By brining all essential public services under the Public Services Guarantee Act, we have created clean and efficient administration.",by brining all essential public services under the public services guarantee act we have created clean and efficient administration,brining essential public service public service guarantee act created clean efficient administration,stance on national issues
2014-02-22 12:32:44+00:00,arunjaitley,.@jalebi9 Short term analysis. Eventually it is BJP who fought for both Telangana and economic justice for Seemandhra. @DabangGujarati,short term analysis eventually it is bjp who fought for both telangana and economic justice for seemandhra,short term analysis eventually bjp fought telangana economic justice seemandhra,"Political Announcement,Engagement"
2014-01-05 11:02:34+00:00,narendramodi,"At Raigad fort today, paid tributes to Chhatrapati Shivaji &amp; addressed a programme organised by Shiv Pratishthan http://t.co/W56M2ifQqP",at raigad fort today paid tributes to chhatrapati shivaji amp addressed a programme organised by shiv pratishthan,raigad fort today paid tribute chhatrapati shivaji amp addressed programme organised shiv pratishthan,"Political Announcement,Engagement"
2014-05-04 16:00:35+00:00,narendramodi,Election process has been long but people's excitement is only increasing. Direction of wind is very clear http://t.co/NC5GwHM18l,election process has been long but peoples excitement is only increasing direction of wind is very clear,election process long people excitement increasing direction wind clear,"Political Announcement,Engagement"
2013-11-07 07:28:43+00:00,sambitswaraj,Jairam-Rahul Gandhi would still be around even if Congress loses..Scientists:Cockroaches would still exist even after d world comes 2 an end,jairamrahul gandhi would still be around even if congress losesscientistscockroaches would still exist even after d world comes 2 an end,jairamrahul gandhi would still around even congress losesscientistscockroaches would still exist even world come 2 end,responses to opposition/people
2014-03-06 14:46:52+00:00,narendramodi,"Tomorrow Sri Sri Ravi Shankar ji will release 'Sakshibhaav', a book based on some thoughts I penned in my diary over 25 years ago. @SriSri",tomorrow sri sri ravi shankar ji will release sakshibhaav a book based on some thoughts i penned in my diary over 25 years ago,tomorrow sri sri ravi shankar ji release sakshibhaav book based thought penned diary 25 year ago,"Political Announcement,Engagement"
2014-02-24 17:37:54+00:00,sambitswaraj,@ShubhamBhuyaat lol..,lol,lol,"Political Announcement,Engagement"
2014-02-20 14:43:33+00:00,ChouhanShivraj,High Constitutional authorities like President and Governor are expected to take decisions not to keep matters pending.,high constitutional authorities like president and governor are expected to take decisions not to keep matters pending,high constitutional authority like president governor expected take decision keep matter pending,stance on national issues
2014-02-14 14:29:56+00:00,sambitswaraj,On @ndtv 24x7 now 8pm...do watch..,on  24x7 now 8pmdo watch,24x7 8pmdo watch,"Political Announcement,Engagement"
2014-02-27 13:32:23+00:00,sambitswaraj,"Thank you so mych sir:) ""@socialmediatbn: @sambitswaraj really  Super Sir  your view is dynamic your presentation is dynamic @narendramodi""",thank you so much sir real super sir your view is dynamic your presentation is dynamic,thank much sir real super sir view dynamic presentation dynamic,stance on national issues
2014-01-19 07:42:36+00:00,sambitswaraj,"""Swaraj"" was acheived by our Forefathers now we have to fight for ""Surajya"" -Modi #BJPNCMeet",swaraj was achieved by our forefathers now we have to fight for surajya modi,swaraj achieved forefather fight surajya modi,stance on national issues
2014-02-09 17:18:51+00:00,thekiranbedi,"At swearing-in as CM Delhi, AK never acknowledged Anna's sacrifices!
 Now he is seeking Anna's support yet again!","at swearingin as cm delhi ak never acknowledged annas sacrifices
 now he is seeking annas support yet again",swearingin cm delhi ak never acknowledged anna sacrifice seeking anna support yet,responses to opposition/people
2014-02-12 12:42:28+00:00,narendramodi,At #ChaiPeCharcha! Great atmosphere. Join http://t.co/nd6MVqDcMG,at  great atmosphere join,great atmosphere join,"Political Announcement,Engagement"
2013-12-18 16:31:00+00:00,SushmaSwaraj,@harshacgh We have passed the Lokpal Bill with that hope.,we have passed the lokpal bill with that hope,passed lokpal bill hope,responses to opposition/people
2014-04-02 13:00:45+00:00,nitin_gadkari,I posted a new photo to Facebook http://t.co/xjTuMQ3Cr4,i posted a new photo to facebook,posted new photo facebook,"Political Announcement,Engagement"
2014-03-01 15:11:52+00:00,ChouhanShivraj,"Sorry to hear about the demise of Shri Bangaru Laxman, my condolences to his family.",sorry to hear about the demise of shri bangaru laxman my condolences to his family,sorry hear demise shri bangaru laxman condolence family,"Political Announcement,Engagement"
2013-12-12 18:09:14+00:00,thekiranbedi,"@indian_mail it's there. Any matter referred by the Lokpal to CBI, the CBI is to report back to Lokpal only.",its there any matter referred by the lokpal to cbi the cbi is to report back to lokpal only,matter referred lokpal cbi cbi report back lokpal,stance on national issues
2014-02-07 15:32:00+00:00,narendramodi,Gave the Valedictory Address at the India Digital Summit. Talked about the importance of latest technology for India's development.,gave the valedictory address at the india digital summit talked about the importance of latest technology for indias development,gave valedictory address india digital summit talked importance latest technology india development,stance on national issues
2014-02-14 04:05:10+00:00,sambitswaraj,"This Valentine's Day Mamta Baneerjee Proposes Mr ""Poribortan"" saying-toomar bin Jeebon ""Cholbena"" !! #ValentineSpecial","On Valentine's Day, Mamata Banerjee Proposes Death Change, Soingtomar's Life Won't Go On",On Valentine Day Mamata Banerjee Proposes Death Change Soingtomar Life Won Go On,responses to opposition/people
2014-04-21 16:39:56+00:00,narendramodi,"Great rally in Mumbai. Uddhav ji, Munde ji, Athawale ji &amp; other leaders made a strong appeal for resounding victory of Mahayuti in 48 seats.",great rally in mumbai uddhav ji munde ji athawale ji amp other leaders made a strong appeal for resounding victory of mahayuti in 48 seats,great rally mumbai uddhav ji munde ji athawale ji amp leader made strong appeal resounding victory mahayuti 48 seat,achievements and accomplishments
2014-01-19 08:21:54+00:00,sambitswaraj,Urbanization is an asset not a Problem saus Modi #BJPNCMeet,urbanization is an asset not a problem saus modi,urbanization asset problem saus modi,stance on national issues
2014-02-12 14:35:27+00:00,sambitswaraj,"Would be on @HeadlinesToday at 8.10pm...pls watch..enjoyed the @News24 debate...K C Tygai ji was Nailed...hmm was trying to call Modi, names",would be on at 810pm pls watchenjoyed the debate k c tyagi ji was nailed was trying to call modi names,would 810pm pls watchenjoyed debate k c tyagi ji nailed trying call modi name,"Political Announcement,Engagement"
2013-12-30 10:03:01+00:00,thekiranbedi,This is a speech I wrote as 'WISH SPEECH' from Arvind Kejriwal) Hindustan Times http://t.co/eFcglGu74r via @sharethis (clarifying as needed),this is a speech i wrote as wish speech from arvind kejriwal hindustan times  via  clarifying as needed,speech wrote wish speech arvind kejriwal hindustan time via clarifying needed,"Political Announcement,Engagement"
2013-11-21 05:13:56+00:00,thekiranbedi,(Still.Can b)@GirishBhardwaj:@ibnlive Mam I've doubts if #tejpal will be arrested!Girl in question is being pushed to take her complaint bk!,stillcan b mam ive doubts if  will be arrestedgirl in question is being pushed to take her complaint bk,stillcan b mam ive doubt arrestedgirl question pushed take complaint bk,"Political Announcement,Engagement"
2014-05-02 11:08:55+00:00,sambitswaraj,"Today(2/5/14)I would be on @SaharaSamay at 5pm, @ZeeBusiness at 6pm, @NewsNationTV at6.30pm, @rajyasabhatv at 8pm&amp; @headlinestoday at 8.30pm",today 2514 i would be on at 5pm at 6pm at 6 30pm at 8pmamp at 830pm,today 2514 would 5pm 6pm 6 30pm 8pmamp 830pm,"Political Announcement,Engagement"
2014-04-12 14:57:12+00:00,sambitswaraj,"Thanks for appreciation@minesh_jsn: @sushilvashisth @sambitswaraj is becoming aggressive and focused day by day...good to see him ..@News24""",thanks for appreciation   is becoming aggressive and focused day by daygood to see him,thanks appreciation becoming aggressive focused day daygood see,stance on national issues
2014-05-02 16:01:11+00:00,narendramodi,"PM may have spoken even 1,100 times but did he ever talk about how Sonia ji's NAC,not Planning Commission mattered more in decision making?",pm may have spoken even 1100 times but did he ever talk about how sonia jis nacnot planning commission mattered more in decision making,pm may spoken even 1100 time ever talk sonia ji nacnot planning commission mattered decision making,responses to opposition/people
2014-02-26 05:24:26+00:00,ChouhanShivraj,The UPA govt has found a unique way to suppress supporters of NDA by launching CBI inquires against them.,the upa govt has found a unique way to suppress supporters of nda by launching cbi inquires against them,upa govt found unique way suppress supporter nda launching cbi inquires,"Political Announcement,Engagement"
2014-04-21 15:02:27+00:00,sambitswaraj,"Would be on @newsxonline at 8.30pn, @ibnkhabar at 9pm &amp; @newsxonline at 9.30pm",would be on  at 830pn  at 9pm amp  at 930pm,would 830pn 9pm amp 930pm,"Political Announcement,Engagement"
2014-04-11 08:16:51+00:00,thekiranbedi,It's not time for petitions.It's time for visible protests!Youth must realise! If they do not do now we will continue to suffer misogyny!,its not time for petitionsits time for visible protestsyouth must realise if they do not do now we will continue to suffer misogyny,time petitionsits time visible protestsyouth must realise continue suffer misogyny,stance on national issues
2014-02-19 09:04:46+00:00,narendramodi,Shivaji Maharaj's governance &amp; policies benefited people of all castes &amp; religions. His taxation policy kept in mind interests of the poor.,shivaji maharajs governance amp policies benefited people of all castes amp religions his taxation policy kept in mind interests of the poor,shivaji maharajs governance amp policy benefited people caste amp religion taxation policy kept mind interest poor,stance on national issues
2014-04-05 16:50:49+00:00,arunjaitley,“The Campaign Diary -5.4.2014”   http://t.co/ZVRZ6bjxEF,the campaign diary 542014,campaign diary 542014,"Political Announcement,Engagement"
2014-04-04 17:12:18+00:00,sambitswaraj,"""Mere Sapno Ka Rajkumar..Mujjhe Hai tera Intezar..Aaaajja..aab to Aaajja..Sanam Aab to Aaajja.."".Aaega Aaega baba 16thMay Ka Intezar to karo","The prince of my dreams, I am waiting for you.",The prince dream I waiting ,responses to opposition/people
2014-03-15 18:11:04+00:00,narendramodi,Grateful to the Party for giving me opportunity to contest the election from the holy city of Varanasi! An honour to contest from Varanasi.,grateful to the party for giving me opportunity to contest the election from the holy city of varanasi an honour to contest from varanasi,grateful party giving opportunity contest election holy city varanasi honour contest varanasi,"Political Announcement,Engagement"
2014-02-25 15:33:34+00:00,sambitswaraj,@ibnkhabar (IBN-7) Debate starts now 9pm...,ibn7 debate starts now 9pm,ibn7 debate start 9pm,"Political Announcement,Engagement"
2014-04-06 16:26:50+00:00,sambitswaraj,"Rhyming Praises :)) ""@drgovindraj: @chandan_chauhan @sambitswaraj @JhaSanjay @ndtv sambit u rock and the others in shock""",rhyming praises       sambit u rock and the others in shock,rhyming praise sambit u rock others shock,achievements and accomplishments
2014-03-16 06:50:24+00:00,sambitswaraj,@mediacrooks Well meant advice taken..BTW that's What I said...Welcome :)),well meaning advice taken btw that's what i said welcome,well meaning advice taken btw said welcome,"Political Announcement,Engagement"
2014-04-30 13:25:34+00:00,ChouhanShivraj,"If a political celebrity comes out of the booth and is surrounded by enthusiasts, will it be called a meeting? Did he organize it?",if a political celebrity comes out of the booth and is surrounded by enthusiasts will it be called a meeting did he organize it,political celebrity come booth surrounded enthusiast called meeting organize,"Political Announcement,Engagement"
2014-05-08 10:28:23+00:00,arunjaitley,There is no security consideration for Rahul Gandhi or Akhilesh Yadav or Arvind Kejriwal. Only Modi is to be stopped.,there is no security consideration for rahul gandhi or akhilesh yadav or arvind kejriwal only modi is to be stopped,security consideration rahul gandhi akhilesh yadav arvind kejriwal modi stopped,responses to opposition/people
2014-03-21 14:01:19+00:00,sambitswaraj,Catch!! Catch!! Catch!!...#AbKiBaarModiSarkaar ...Catch the Honest Sarkar :)),catch catch catch catch the honest sarkar,catch catch catch catch honest sarkar,"Political Announcement,Engagement"
